     2    0.11322E+04    0.56445E-01    0.18068E-05    0.36390E+01
     3    0.10645E+04    0.95596E-01    0.36090E-05    0.45865E+01
     4    0.99858E+03    0.11171E+00    0.60057E-05    0.47606E+01
     5    0.94665E+03    0.10328E+00    0.89990E-05    0.44610E+01
     6    0.90852E+03    0.79656E-01    0.12587E-04    0.39268E+01
     7    0.88181E+03    0.52761E-01    0.16778E-04    0.33130E+01
     8    0.86351E+03    0.31151E-01    0.21569E-04    0.27126E+01
     9    0.85288E+03    0.17983E-01    0.26962E-04    0.21844E+01
    10    0.84697E+03    0.12094E-01    0.32961E-04    0.17537E+01
    11    0.84488E+03    0.10368E-01    0.39565E-04    0.14366E+01
    12    0.84688E+03    0.99379E-02    0.46774E-04    0.12340E+01
    13    0.85122E+03    0.92732E-02    0.54593E-04    0.11307E+01
    14    0.85696E+03    0.81551E-02    0.63021E-04    0.11058E+01
    15    0.86422E+03    0.70486E-02    0.72062E-04    0.11365E+01
    16    0.87310E+03    0.64296E-02    0.81715E-04    0.12005E+01
    17    0.88336E+03    0.64313E-02    0.91983E-04    0.12789E+01
    18    0.89401E+03    0.68548E-02    0.10287E-03    0.13571E+01
    19    0.90626E+03    0.73930E-02    0.11437E-03    0.14287E+01
    20    0.91873E+03    0.78384E-02    0.12650E-03    0.14867E+01
    21    0.93172E+03    0.81868E-02    0.13924E-03    0.15317E+01
    22    0.94518E+03    0.85842E-02    0.15261E-03    0.15662E+01
    23    0.95903E+03    0.92092E-02    0.16661E-03    0.15955E+01
    24    0.97325E+03    0.10172E-01    0.18123E-03    0.16239E+01
    25    0.98783E+03    0.11490E-01    0.19648E-03    0.16544E+01
    26    0.10027E+04    0.13112E-01    0.21236E-03    0.16907E+01
    27    0.10178E+04    0.14975E-01    0.22887E-03    0.17319E+01
    28    0.10332E+04    0.17044E-01    0.24601E-03    0.17776E+01
    29    0.10489E+04    0.19315E-01    0.26378E-03    0.18260E+01
    30    0.10649E+04    0.21795E-01    0.28219E-03    0.18730E+01
    31    0.10810E+04    0.24485E-01    0.30123E-03    0.19147E+01
    32    0.10973E+04    0.27368E-01    0.32091E-03    0.19478E+01
    33    0.11138E+04    0.30411E-01    0.34123E-03    0.19691E+01
    34    0.11306E+04    0.33596E-01    0.36218E-03    0.19763E+01
    35    0.11476E+04    0.36928E-01    0.38377E-03    0.19692E+01
    36    0.11648E+04    0.40440E-01    0.40600E-03    0.19478E+01
    37    0.11821E+04    0.44182E-01    0.42887E-03    0.19134E+01
    38    0.11996E+04    0.48195E-01    0.45238E-03    0.18681E+01
    39    0.12174E+04    0.52493E-01    0.47653E-03    0.18130E+01
    40    0.12354E+04    0.57081E-01    0.50132E-03    0.17485E+01
    41    0.12536E+04    0.61962E-01    0.52675E-03    0.16755E+01
    42    0.12719E+04    0.67131E-01    0.55282E-03    0.15951E+01
    43    0.12903E+04    0.72580E-01    0.57952E-03    0.15082E+01
    44    0.13088E+04    0.78315E-01    0.60687E-03    0.14125E+01
    45    0.13276E+04    0.84334E-01    0.63486E-03    0.13055E+01
    46    0.13467E+04    0.90637E-01    0.66349E-03    0.11862E+01
    47    0.13660E+04    0.97207E-01    0.69276E-03    0.10540E+01
    48    0.13852E+04    0.10404E+00    0.72266E-03    0.90890E+00
    49    0.14046E+04    0.11113E+00    0.75321E-03    0.75045E+00
    50    0.14243E+04    0.11849E+00    0.78439E-03    0.57688E+00
    51    0.14443E+04    0.12612E+00    0.81622E-03    0.38671E+00
    52    0.14646E+04    0.13403E+00    0.84868E-03    0.18151E+00
    53    0.14849E+04    0.14225E+00    0.88177E-03   -0.36708E-01
    54    0.15053E+04    0.15076E+00    0.91551E-03   -0.26694E+00
    55    0.15257E+04    0.15955E+00    0.94987E-03   -0.50881E+00
    56    0.15465E+04    0.16865E+00    0.98488E-03   -0.76344E+00
    57    0.15677E+04    0.17806E+00    0.10205E-02   -0.10317E+01
    58    0.15890E+04    0.18777E+00    0.10568E-02   -0.13118E+01
    59    0.16105E+04    0.19779E+00    0.10937E-02   -0.16023E+01
    60    0.16321E+04    0.20807E+00    0.11312E-02   -0.19046E+01
    61    0.16540E+04    0.21864E+00    0.11694E-02   -0.22207E+01
    62    0.16761E+04    0.22947E+00    0.12082E-02   -0.25506E+01
    63    0.16984E+04    0.24056E+00    0.12477E-02   -0.28941E+01
    64    0.17208E+04    0.25191E+00    0.12878E-02   -0.32509E+01
    65    0.17434E+04    0.26352E+00    0.13285E-02   -0.36207E+01
    66    0.17663E+04    0.27537E+00    0.13698E-02   -0.40032E+01
    67    0.17893E+04    0.28745E+00    0.14118E-02   -0.43980E+01
    68    0.18125E+04    0.29977E+00    0.14544E-02   -0.48049E+01
    69    0.18359E+04    0.31232E+00    0.14976E-02   -0.52235E+01
    70    0.18597E+04    0.32510E+00    0.15415E-02   -0.56540E+01
    71    0.18837E+04    0.33809E+00    0.15860E-02   -0.60967E+01
    72    0.19082E+04    0.35133E+00    0.16311E-02   -0.65519E+01
    73    0.19329E+04    0.36479E+00    0.16769E-02   -0.70196E+01
    74    0.19579E+04    0.37846E+00    0.17233E-02   -0.74990E+01
    75    0.19831E+04    0.39234E+00    0.17703E-02   -0.79899E+01
    76    0.20083E+04    0.40639E+00    0.18180E-02   -0.84908E+01
    77    0.20336E+04    0.42061E+00    0.18663E-02   -0.90003E+01
    78    0.20588E+04    0.43499E+00    0.19153E-02   -0.95207E+01
    79    0.20843E+04    0.44951E+00    0.19649E-02   -0.10050E+02
    80    0.21100E+04    0.46418E+00    0.20151E-02   -0.10590E+02
