  0.735943E-04  0.200258E+08  0.200258E+08  0.259851E+08  0.259840E+08  0.000000E+00  0.200258E+08
  0.869415E-04  0.200252E+08  0.200252E+08  0.257060E+08  0.257045E+08  0.000000E+00  0.200252E+08
  0.102709E-03  0.200245E+08  0.200245E+08  0.253210E+08  0.253191E+08  0.000000E+00  0.200245E+08
  0.121337E-03  0.200234E+08  0.200234E+08  0.247926E+08  0.247899E+08  0.000000E+00  0.200234E+08
  0.143342E-03  0.200219E+08  0.200219E+08  0.240719E+08  0.240683E+08  0.000000E+00  0.200219E+08
  0.169339E-03  0.200198E+08  0.200198E+08  0.230981E+08  0.230934E+08  0.000000E+00  0.200198E+08
  0.200050E-03  0.200169E+08  0.200169E+08  0.217994E+08  0.217932E+08  0.000000E+00  0.200169E+08
  0.236331E-03  0.200129E+08  0.200129E+08  0.200987E+08  0.200910E+08  0.000000E+00  0.200129E+08
  0.279193E-03  0.200074E+08  0.200074E+08  0.179291E+08  0.179199E+08  0.000000E+00  0.200074E+08
  0.329827E-03  0.199998E+08  0.199998E+08  0.152625E+08  0.152525E+08  0.000000E+00  0.199998E+08
  0.389645E-03  0.199895E+08  0.199895E+08  0.121572E+08  0.121474E+08  0.000000E+00  0.199895E+08
  0.460311E-03  0.199754E+08  0.199754E+08  0.881606E+07  0.880840E+07  0.000000E+00  0.199754E+08
  0.543793E-03  0.199565E+08  0.199564E+08  0.562492E+07  0.562156E+07  0.000000E+00  0.199564E+08
  0.642415E-03  0.199312E+08  0.199312E+08  0.309569E+07  0.309752E+07  0.000000E+00  0.199312E+08
  0.758924E-03  0.198980E+08  0.198979E+08  0.162542E+07  0.162999E+07  0.000000E+00  0.198980E+08
  0.896563E-03  0.198548E+08  0.198547E+08  0.112018E+07  0.112210E+07  0.000000E+00  0.198548E+08
  0.105916E-02  0.197993E+08  0.197992E+08  0.911650E+06  0.908917E+06  0.000000E+00  0.197993E+08
  0.125125E-02  0.197286E+08  0.197284E+08  0.489481E+06  0.488491E+06  0.000000E+00  0.197286E+08
  0.147818E-02  0.196393E+08  0.196390E+08  0.202758E+06  0.205032E+06  0.000000E+00  0.196392E+08
  0.174627E-02  0.195274E+08  0.195270E+08  0.181036E+06  0.179252E+06  0.000000E+00  0.195273E+08
  0.206297E-02  0.193884E+08  0.193878E+08  0.486659E+05  0.500225E+05  0.000000E+00  0.193883E+08
  0.243711E-02  0.192170E+08  0.192163E+08  0.490668E+05  0.469964E+05  0.000000E+00  0.192169E+08
  0.287911E-02  0.190076E+08  0.190067E+08  0.133783E+05  0.102141E+05  0.000000E+00  0.190075E+08
  0.340126E-02  0.187541E+08  0.187528E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.187539E+08
  0.401812E-02  0.184500E+08  0.184481E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.184497E+08
  0.474684E-02  0.180884E+08  0.180859E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.180880E+08
  0.482662E-02  0.180488E+08  0.180462E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.180484E+08
  0.490774E-02  0.180086E+08  0.180059E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.180082E+08
  0.499022E-02  0.179677E+08  0.179649E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.179673E+08
  0.507409E-02  0.179262E+08  0.179233E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.179257E+08
  0.515936E-02  0.178840E+08  0.178810E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.178835E+08
  0.524607E-02  0.178411E+08  0.178380E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.178406E+08
  0.533424E-02  0.177975E+08  0.177943E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.177970E+08
  0.542389E-02  0.177532E+08  0.177500E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.177527E+08
  0.551504E-02  0.177083E+08  0.177049E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.177077E+08
  0.560773E-02  0.176626E+08  0.176591E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.176621E+08
  0.570198E-02  0.176162E+08  0.176127E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.176157E+08
  0.579781E-02  0.175691E+08  0.175654E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.175686E+08
  0.589525E-02  0.175213E+08  0.175175E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.175207E+08
  0.599432E-02  0.174728E+08  0.174688E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.174722E+08
  0.609507E-02  0.174235E+08  0.174194E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.174228E+08
  0.619750E-02  0.173735E+08  0.173693E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.173728E+08
  0.630166E-02  0.173227E+08  0.173184E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.173220E+08
  0.640757E-02  0.172711E+08  0.172667E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.172704E+08
  0.651525E-02  0.172188E+08  0.172142E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.172181E+08
  0.662475E-02  0.171658E+08  0.171610E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.171650E+08
  0.673609E-02  0.171119E+08  0.171070E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.171111E+08
  0.684930E-02  0.170573E+08  0.170522E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.170565E+08
  0.696441E-02  0.170018E+08  0.169966E+08  0.000000E+00  0.000000E+00  0.000000E+00  0.170010E+08
